,+/-,3P,3P%,3PA,AST,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Unnamed: 5,Unnamed: 7,player
0,22.0,0.0,0.0,2.0,4.0,1.0,1.0,10/18/17,3.0,0.273,11.0,4.0,1.0,4.0,1.0,1,3.9,26:04:00,0.0,DEN,1.0,10.0,1,0.0,3.0,1.0,,W (+10),donovan mitchell
1,-1.0,0.0,0.0,2.0,2.0,2.0,0.0,10/20/17,1.0,0.14300000000000002,7.0,0.0,0.0,1.0,2.0,0,-1.9,20:00,0.0,MIN,2.0,2.0,2,0.0,1.0,0.0,@,L (-3),donovan mitchell
2,3.0,0.0,0.0,3.0,6.0,0.0,2.0,10/21/17,1.0,0.14300000000000002,7.0,0.0,,0.0,3.0,1,1.7,21:56,0.0,OKC,4.0,2.0,3,1.0,0.0,2.0,,W (+9),donovan mitchell
3,-5.0,3.0,0.33299999999999996,9.0,1.0,0.0,1.0,10/24/17,7.0,0.35,20.0,2.0,1.0,2.0,4.0,1,4.9,29:55:00,1.0,LAC,4.0,19.0,4,1.0,4.0,2.0,@,L (-18),donovan mitchell
4,-2.0,0.0,0.0,2.0,1.0,1.0,1.0,10/25/17,1.0,0.14300000000000002,7.0,0.0,,0.0,5.0,0,-4.0,12:46,0.0,PHO,3.0,2.0,5,1.0,3.0,1.0,@,L (-9),donovan mitchell
5,17.0,3.0,0.5,6.0,2.0,0.0,1.0,10/28/17,9.0,0.563,16.0,1.0,1.0,1.0,6.0,0,13.5,27:26:00,2.0,LAL,5.0,22.0,6,3.0,5.0,3.0,,W (+15),donovan mitchell
6,-10.0,2.0,0.5,4.0,1.0,0.0,1.0,10/30/17,3.0,0.375,8.0,0.0,,0.0,7.0,0,5.8,17:06,0.0,DAL,2.0,8.0,7,2.0,0.0,1.0,,W (+15),donovan mitchell
7,14.0,4.0,0.4,10.0,3.0,0.0,4.0,11/1/17,9.0,0.429,21.0,6.0,0.857,7.0,8.0,0,17.6,34:57:00,2.0,POR,4.0,28.0,8,0.0,2.0,6.0,,W (+9),donovan mitchell
8,6.0,3.0,0.429,7.0,0.0,2.0,3.0,11/3/17,9.0,0.45,20.0,4.0,1.0,4.0,9.0,0,17.3,31:46:00,0.0,TOR,4.0,25.0,9,2.0,0.0,3.0,,L (-9),donovan mitchell
9,-14.0,3.0,0.429,7.0,4.0,0.0,3.0,11/5/17,6.0,0.462,13.0,2.0,1.0,2.0,10.0,0,10.1,24:42:00,1.0,HOU,4.0,17.0,10,1.0,4.0,4.0,@,L (-27),donovan mitchell
10,-11.0,2.0,0.182,11.0,1.0,1.0,2.0,11/7/17,3.0,0.14300000000000002,21.0,0.0,0.0,1.0,11.0,0,-4.4,30:54:00,1.0,PHI,3.0,8.0,11,1.0,1.0,3.0,,L (-7),donovan mitchell
11,-14.0,2.0,0.33299999999999996,6.0,1.0,0.0,2.0,11/10/17,5.0,0.35700000000000004,14.0,0.0,0.0,1.0,12.0,1,4.5,35:54:00,0.0,MIA,4.0,12.0,12,2.0,1.0,2.0,,L (-10),donovan mitchell
12,12.0,1.0,0.2,5.0,3.0,0.0,1.0,11/11/17,10.0,0.556,18.0,5.0,1.0,5.0,13.0,1,17.2,25:32:00,2.0,BRK,5.0,26.0,13,1.0,3.0,3.0,,W (+8),donovan mitchell
13,-11.0,3.0,0.33299999999999996,9.0,4.0,1.0,3.0,11/13/17,10.0,0.526,19.0,1.0,0.5,2.0,14.0,1,20.6,34:43:00,1.0,MIN,2.0,24.0,14,4.0,2.0,4.0,,L (-11),donovan mitchell
14,-9.0,3.0,0.5,6.0,3.0,0.0,4.0,11/15/17,8.0,0.47100000000000003,17.0,0.0,,0.0,15.0,1,8.0,36:25:00,0.0,NYK,4.0,19.0,15,0.0,4.0,4.0,@,L (-5),donovan mitchell
15,-7.0,1.0,0.25,4.0,8.0,1.0,5.0,11/17/17,5.0,0.33299999999999996,15.0,4.0,1.0,4.0,16.0,1,13.3,35:16:00,2.0,BRK,1.0,15.0,16,1.0,3.0,7.0,@,L (-11),donovan mitchell
16,15.0,3.0,0.75,4.0,3.0,0.0,5.0,11/18/17,4.0,0.444,9.0,1.0,1.0,1.0,17.0,1,11.4,25:30:00,1.0,ORL,3.0,12.0,17,3.0,2.0,6.0,@,W (+40),donovan mitchell
17,-13.0,1.0,0.14300000000000002,7.0,5.0,1.0,4.0,11/20/17,6.0,0.316,19.0,4.0,0.8,5.0,18.0,1,8.3,37:02:00,0.0,PHI,2.0,17.0,18,1.0,3.0,4.0,@,L (-21),donovan mitchell
18,18.0,0.0,0.0,3.0,7.0,1.0,4.0,11/22/17,1.0,0.1,10.0,2.0,1.0,2.0,19.0,1,3.1,26:12:00,1.0,CHI,2.0,4.0,19,1.0,2.0,5.0,,W (+30),donovan mitchell
19,8.0,6.0,0.6,10.0,4.0,0.0,4.0,11/25/17,9.0,0.563,16.0,0.0,0.0,3.0,20.0,1,19.4,29:22:00,0.0,MIL,2.0,24.0,20,2.0,1.0,4.0,,W (+13),donovan mitchell
20,20.0,2.0,0.4,5.0,2.0,0.0,3.0,11/28/17,5.0,0.41700000000000004,12.0,4.0,1.0,4.0,21.0,1,10.3,30:14:00,0.0,DEN,4.0,16.0,21,2.0,2.0,3.0,,W (+29),donovan mitchell
21,13.0,5.0,0.5,10.0,6.0,0.0,0.0,11/30/17,9.0,0.563,16.0,1.0,1.0,1.0,22.0,1,18.8,36:24:00,0.0,LAC,2.0,24.0,22,1.0,2.0,0.0,@,W (+19),donovan mitchell
22,11.0,6.0,0.5,12.0,4.0,0.0,4.0,12/1/17,13.0,0.52,25.0,9.0,0.818,11.0,23.0,1,28.7,36:42:00,0.0,NOP,3.0,41.0,23,0.0,2.0,4.0,,W (+6),donovan mitchell
23,13.0,3.0,0.5,6.0,2.0,0.0,1.0,12/4/17,8.0,0.615,13.0,2.0,1.0,2.0,24.0,1,14.4,25:54:00,2.0,WAS,2.0,21.0,24,0.0,3.0,3.0,,W (+47),donovan mitchell
24,2.0,5.0,0.41700000000000004,12.0,4.0,0.0,1.0,12/5/17,11.0,0.5,22.0,4.0,0.8,5.0,25.0,1,21.5,36:15:00,0.0,OKC,3.0,31.0,25,5.0,5.0,1.0,@,L (-6),donovan mitchell
25,-18.0,2.0,0.33299999999999996,6.0,4.0,0.0,4.0,12/7/17,9.0,0.474,19.0,6.0,1.0,6.0,26.0,1,17.3,35:21:00,0.0,HOU,5.0,26.0,26,1.0,2.0,4.0,,L (-11),donovan mitchell
26,-17.0,2.0,0.33299999999999996,6.0,2.0,1.0,1.0,12/9/17,4.0,0.235,17.0,2.0,1.0,2.0,27.0,1,1.9,36:45:00,0.0,MIL,3.0,12.0,27,3.0,4.0,1.0,@,L (-17),donovan mitchell
27,-5.0,1.0,0.14300000000000002,7.0,6.0,1.0,3.0,12/13/17,15.0,0.5770000000000001,26.0,1.0,1.0,1.0,28.0,1,23.8,36:49:00,0.0,CHI,2.0,32.0,28,2.0,3.0,3.0,@,L (-3),donovan mitchell
28,12.0,2.0,0.4,5.0,9.0,0.0,5.0,12/15/17,6.0,0.33299999999999996,18.0,3.0,1.0,3.0,29.0,1,10.4,36:39:00,0.0,BOS,3.0,17.0,29,0.0,3.0,5.0,@,W (+12),donovan mitchell
29,2.0,3.0,0.5,6.0,1.0,0.0,1.0,12/16/17,11.0,0.688,16.0,1.0,0.5,2.0,30.0,1,15.9,36:23:00,1.0,CLE,4.0,26.0,30,1.0,4.0,2.0,@,L (-9),donovan mitchell
30,-15.0,0.0,0.0,2.0,1.0,0.0,2.0,12/18/17,3.0,0.429,7.0,0.0,,0.0,31.0,1,5.0,21:08,0.0,HOU,4.0,6.0,31,4.0,1.0,2.0,@,L (-21),donovan mitchell
31,,,,,,,,12/20/17,,,,,,,,Did Not Play,,,,OKC,,,32,,,,@,L (-28),donovan mitchell
32,,,,,,,,12/21/17,,,,,,,,Did Not Dress,,,,SAS,,,33,,,,,W (+11),donovan mitchell
33,-12.0,1.0,0.33299999999999996,3.0,1.0,1.0,5.0,12/23/17,12.0,0.75,16.0,4.0,1.0,4.0,32.0,1,22.3,37:20:00,0.0,OKC,3.0,29.0,34,1.0,3.0,5.0,,L (-14),donovan mitchell
34,-16.0,1.0,0.25,4.0,6.0,0.0,3.0,12/26/17,5.0,0.5,10.0,2.0,1.0,2.0,33.0,1,10.1,32:34:00,0.0,DEN,5.0,13.0,35,1.0,2.0,3.0,@,L (-24),donovan mitchell
